"X","Y","crater_id","cfield_id"
38.3727283991,47.746221129,1,20000
38.3728195538,47.746454586,2,3
38.3714844049,47.7462562828,3,20000
38.3711090618,47.7463860814,4,20000
38.3716506283,47.7468151354,5,3
38.3725407275,47.7469449325,6,3
38.3730501217,47.7467249983,7,3
38.3735058955,47.7470314638,8,3
38.3728892604,47.7470783348,9,3
38.3723423319,47.7471864986,10,3
38.3717900414,47.7471143894,11,3
38.3714039742,47.747229764,12,3
38.3718168516,47.7473090839,13,3
38.3719348166,47.7473235057,14,3
38.3721600224,47.7473775874,15,3
38.3720366954,47.7473703765,16,3
38.3718758341,47.7475975189,17,3
38.3742083232,47.7469016668,18,3
38.3743209261,47.7467574477,19,3
38.3746480108,47.7464870356,20,3
38.3737686356,47.7474415839,21,3
38.3732217071,47.7476579097,22,3
38.3728678122,47.7477444398,23,3
38.3738597904,47.7478850509,24,3
38.3726908648,47.7479896076,25,3
38.373082294,47.7480220561,26,3
38.3710822516,47.7477011748,27,3
38.3707283567,47.7477444398,28,20000
38.3705674954,47.7476182501,29,3
38.3710384806,47.7481773741,30,2
38.3708936733,47.7481665555,31,2
38.3708239513,47.7482891657,32,2
38.3705397,47.7482062235,33,2
38.3718161493,47.7483432583,34,2
38.3698103004,47.747881666,35,2
38.3694241477,47.7474489195,36,20000
38.3695153226,47.7488192712,37,2
38.3731837735,47.7483504707,38,2
38.3735377469,47.7483071966,39,20000
38.374395864,47.7480367326,40,3
38.3764285291,47.7461578709,41,3
38.376771776,47.7463381869,42,3
38.3762300895,47.7460965633,43,3
38.3771954713,47.746316549,44,3
38.3771847448,47.7461939341,45,3
38.3762569056,47.7457503545,46,3
38.376010197,47.7458549387,47,3
38.3754874815,47.7456863261,48,3
38.375551826,47.7454159085,49,3
38.3755839982,47.7453474024,50,3
38.3765652523,47.7455457091,51,3
38.3766456829,47.745394275,52,3
38.3768172684,47.7452428404,53,3
38.3769834917,47.7453005298,54,3
38.3772515939,47.7448894914,55,3
38.3767904581,47.7448714634,56,20000
38.3776162129,47.7447849285,57,3
38.3780398144,47.7451995733,58,3
38.3778950392,47.7454952311,59,3
38.3786725356,47.7457007483,60,3
38.3784205195,47.7458774204,61,3
38.3798092889,47.7452608684,62,3
38.3798897195,47.7453329801,63,3
38.3693887887,47.7477464555,64,2
38.3804535525,47.7449111503,65,3
38.3797938018,47.7445071858,66,3
38.3792788745,47.7450121409,67,3
38.3810274819,47.7448173731,68,3
38.3811991244,47.7451672333,69,3
38.3818106006,47.7452357623,70,3
38.3804535525,47.7456830022,71,3
38.3799336232,47.746143501,72,3
38.3792204713,47.7460677849,73,3
38.3793062641,47.7455305577,74,3
38.3783357341,47.7447445375,75,3
38.3778799604,47.7445534391,76,3
38.3821803196,47.7445390166,77,3
38.3820623546,47.7440810984,78,3
38.3812634101,47.7442433533,79,3
38.3809684977,47.7440847041,80,3
38.3830704189,47.744041436,81,3
38.3831454875,47.7442505647,82,3
38.3832688145,47.7436520219,83,3
38.3816387532,47.7439296601,84,3
38.3818264247,47.7437746155,85,3
38.3822071298,47.7439693225,86,3
38.3820248203,47.7435618793,87,3
38.3809363254,47.743839518,88,3
38.3808076364,47.7436916846,89,3
38.3803036042,47.7436375991,90,20000
38.3798853648,47.7436339934,91,20000
38.3807540159,47.7434861594,92,20000
38.3809256013,47.7434068337,93,20000
38.3811883415,47.7430678952,94,20000
38.3817781663,47.7434212566,95,3
38.380158829,47.7441928741,96,3
38.3843358613,47.7441279721,97,3
38.3826468174,47.7451844219,98,3
38.3829470919,47.7455738246,99,3
38.3830489707,47.7453791236,100,3
38.3842393445,47.7454872909,101,3
38.3841213795,47.7460894181,102,3
38.3865668863,47.7474672498,103,3
38.3761622156,47.7467640292,104,3
38.3763231125,47.7473734876,105,3
38.3766717226,47.7478927838,106,3
38.3774547546,47.7475249495,107,3
38.3778784499,47.7466810846,108,3
38.3780125307,47.746269966,109,3
38.3775512927,47.7459850661,110,3
38.3786078495,47.7469479494,111,3
38.3789135538,47.7474059437,112,3
38.3791012669,47.7474383999,113,3
38.3790047287,47.7468036983,114,3
38.3797448548,47.7468794302,115,3
38.3802543618,47.7469479494,116,3
38.3765376418,47.7472256315,117,3
38.3778677234,47.7477701726,118,3
38.3861056483,47.7473446376,119,3
38.3859983837,47.7467387852,120,3
38.3828984354,47.7435074533,121,3
38.3825069194,47.7435976159,122,3
38.3823460224,47.7427789333,123,20000
38.4624605105,47.7806660315,124,5
38.4605569849,47.7809218535,125,20000
38.4636026258,47.7803417483,126,5
38.4637581251,47.7811200246,127,5
38.4630825076,47.7814190814,128,5
38.4639243485,47.7817938007,129,20000
38.4642138988,47.7818622587,130,20000
38.463254093,47.7821541052,131,20000
38.4629752667,47.7827305871,132,20000
38.462031547,47.7837214006,133,20000
38.5029337398,47.7132558836,134,4
38.5026333988,47.7136420029,135,4
38.5031965382,47.7135048768,136,4
38.5033467087,47.7136203514,137,4
38.5033359822,47.7137141744,138,4
38.5030249147,47.7137971715,139,4
38.5030410044,47.7139162541,140,4
38.5033949778,47.7139234712,141,4
38.5039044848,47.7134687909,142,4
38.5037274982,47.7134218792,143,4
38.5033788881,47.7133172299,144,4
38.503491516,47.7131476254,145,4
38.5041190141,47.7128878047,146,4
38.5048055079,47.7133821846,147,4
38.5027567531,47.7127001556,148,4
38.502869381,47.7143853646,149,4
38.5027782061,47.7145116629,150,4
38.5028318384,47.714710131,151,4
38.5030463677,47.714854471,152,4
38.502338421,47.7146993055,153,4
38.5017860081,47.7146740459,154,4
38.5019522683,47.7152008852,155,4
38.5011316937,47.7138332572,156,20000
